                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.6416336801799321E+004   0.0000000000000000E+000                         2                         0                        44                        44
  0.6555867567309619E+004   0.0000000000000000E+000                         2                         0                        45                        45
  0.6696349918579973E+004   0.0000000000000000E+000                         2                         0                        46                        46
  0.6837400342111801E+004   0.0000000000000000E+000                         2                         0                        47                        47
  0.6978891155644334E+004   0.0000000000000000E+000                         2                         0                        48                        48
  0.7120598198593997E+004   0.0000000000000000E+000                         2                         0                        49                        49
  0.7262453812828506E+004   0.0000000000000000E+000                         2                         0                        50                        50
  0.7404379157908543E+004   0.0000000000000000E+000                         2                         0                        51                        51
  0.7546256471999682E+004   0.0000000000000000E+000                         2                         0                        52                        52
  0.7688090952325981E+004   0.0000000000000000E+000                         2                         0                        53                        53
  0.7829761661420123E+004   0.0000000000000000E+000                         2                         0                        54                        54
  0.7971251133452808E+004   0.0000000000000000E+000                         2                         0                        55                        55
  0.5001038826926185E+002   0.0000000000000000E+000                         3                        28                         0                       -28
  0.1996465212350101E+003   0.0000000000000000E+000                         3                         5                         0                        -5
  0.2239796768902681E+003   0.0000000000000000E+000                         3                         4                         0                        -4
  0.4239890673392812E+003   0.0000000000000000E+000                         3                         0                         1                         1
  0.5786754249662698E+003   0.0000000000000000E+000                         3                         0                         2                         2
  0.7363204755425597E+003   0.0000000000000000E+000                         3                         0                         3                         3
  0.8884386103412519E+003   0.0000000000000000E+000                         3                         0                         4                         4
  0.1040661392783842E+004   0.0000000000000000E+000                         3                         0                         5                         5
  0.1190926821857865E+004   0.0000000000000000E+000                         3                         0                         6                         6
  0.1340217609695469E+004   0.0000000000000000E+000                         3                         0                         7                         7
  0.1488416882723956E+004   0.0000000000000000E+000                         3                         0                         8                         8
  0.1633028914521829E+004   0.0000000000000000E+000                         3                         0                         9                         9
  0.1775001024033387E+004   0.0000000000000000E+000                         3                         0                        10                        10
  0.1914690412150023E+004   0.0000000000000000E+000                         3                         0                        11                        11
  0.2054323906041463E+004   0.0000000000000000E+000                         3                         0                        12                        12
  0.2194814661631323E+004   0.0000000000000000E+000                         3                         0                        13                        13
  0.2334520738719566E+004   0.0000000000000000E+000                         3                         0                        14                        14
  0.2473282240939865E+004   0.0000000000000000E+000                         3                         0                        15                        15
  0.2611422400407881E+004   0.0000000000000000E+000                         3                         0                        16                        16
  0.2749896312103885E+004   0.0000000000000000E+000                         3                         0                        17                        17
  0.2889514030687140E+004   0.0000000000000000E+000                         3                         0                        18                        18
  0.3029469015632671E+004   0.0000000000000000E+000                         3                         0                        19                        19
  0.3169590243882876E+004   0.0000000000000000E+000                         3                         0                        20                        20
  0.3309817959836538E+004   0.0000000000000000E+000                         3                         0                        21                        21
  0.3450143070370333E+004   0.0000000000000000E+000                         3                         0                        22                        22
  0.3591055436773078E+004   0.0000000000000000E+000                         3                         0                        23                        23
  0.3732226649844060E+004   0.0000000000000000E+000                         3                         0                        24                        24
  0.3873659167821331E+004   0.0000000000000000E+000                         3                         0                        25                        25
  0.4015355415569768E+004   0.0000000000000000E+000                         3                         0                        26                        26
  0.4157070361055495E+004   0.0000000000000000E+000                         3                         0                        27                        27
  0.4298979537366472E+004   0.0000000000000000E+000                         3                         0                        28                        28
  0.4440840640168121E+004   0.0000000000000000E+000                         3                         0                        29                        29
  0.4582658833788915E+004   0.0000000000000000E+000                         3                         0                        30                        30
  0.4724393187245638E+004   0.0000000000000000E+000                         3                         0                        31                        31
  0.4865682385999530E+004   0.0000000000000000E+000                         3                         0                        32                        32
  0.5006100545950852E+004   0.0000000000000000E+000                         3                         0                        33                        33
  0.5142602372651256E+004   0.0000000000000000E+000                         3                         0                        34                        34
  0.5281013176756372E+004   0.0000000000000000E+000                         3                         0                        35                        35
  0.5417525415103960E+004   0.0000000000000000E+000                         3                         0                        36                        36
  0.5551189334287744E+004   0.0000000000000000E+000                         3                         0                        37                        37
  0.5681619731365271E+004   0.0000000000000000E+000                         3                         0                        38                        38
  0.5809730312533519E+004   0.0000000000000000E+000                         3                         0                        39                        39
  0.5938201795936267E+004   0.0000000000000000E+000                         3                         0                        40                        40
  0.6069527267971105E+004   0.0000000000000000E+000                         3                         0                        41                        41
  0.6204106351101514E+004   0.0000000000000000E+000                         3                         0                        42                        42
  0.6341274544218895E+004   0.0000000000000000E+000                         3                         0                        43                        43
  0.6480259947820809E+004   0.0000000000000000E+000                         3                         0                        44                        44
  0.6620366923234585E+004   0.0000000000000000E+000                         3                         0                        45                        45
  0.6761276883801701E+004   0.0000000000000000E+000                         3                         0                        46                        46
  0.6902668560455676E+004   0.0000000000000000E+000                         3                         0                        47                        47
  0.7044366617773263E+004   0.0000000000000000E+000                         3                         0                        48                        48
  0.7186288393993486E+004   0.0000000000000000E+000                         3                         0                        49                        49
  0.7328262274723977E+004   0.0000000000000000E+000                         3                         0                        50                        50
  0.7470284257655766E+004   0.0000000000000000E+000                         3                         0                        51                        51
  0.7612242437472411E+004   0.0000000000000000E+000                         3                         0                        52                        52
  0.7754086185359590E+004   0.0000000000000000E+000                         3                         0                        53                        53
  0.7895787456621038E+004   0.0000000000000000E+000                         3                         0                        54                        54
